id;sex;bdate;city;group
45888;male;1981-04-08;Улан-Удэ;108291890
57179;female;;Улан-Удэ;108291890
99851;female;;Селенгинск;108291890
287597;male;;;108291890
369160;male;;Санкт-Петербург;108291890
414311;female;;Улан-Удэ;108291890
427982;female;;;108291890
436928;female;1987-08-31;Улан-Удэ;108291890
466688;female;;;108291890
500093;female;;;108291890
502057;female;1985-04-12;Улан-Удэ;108291890
515257;female;1980-01-05;Улан-Удэ;108291890
563089;female;;;108291890
570027;female;;;108291890
575805;male;;Кижинга;108291890
593098;male;1989-12-05;Улан-Удэ;108291890
616706;male;;Улан-Удэ;108291890
627053;female;;Улан-Удэ;108291890
758445;female;;Улан-Удэ;108291890
810589;female;1984-01-26;Улан-Удэ;108291890
915631;female;;Улан-Удэ;108291890
933175;female;;Улан-Удэ;108291890
950292;female;;Улан-Удэ;108291890
1021930;female;;Улан-Удэ;108291890
1044416;male;1981-01-29;Улан-Удэ;108291890
1053688;female;;;108291890
1105642;female;;;108291890
1127739;male;1980-12-19;Улан-Удэ;108291890
1167237;female;;Улан-Удэ;108291890
1177383;female;1986-10-03;Улан-Удэ;108291890
1237297;male;;Улан-Удэ;108291890
1298968;female;;Улан-Удэ;108291890
1327897;female;;Улан-Удэ;108291890
1333313;female;1986-12-12;;108291890
1349907;female;1982-03-22;Улан-Удэ;108291890
1378809;female;;Улан-Удэ;108291890
1386316;female;;Москва;108291890
1432389;female;;;108291890
1495361;male;1982-04-11;Курумкан;108291890
1507089;male;1988-12-26;Улан-Удэ;108291890
1617774;female;;Улан-Удэ;108291890
1637589;male;;Санкт-Петербург;108291890
1670710;female;;Улан-Удэ;108291890
1753126;male;;;108291890
1770572;female;;Улан-Удэ;108291890
1827108;male;;;108291890
1827546;female;;Улан-Удэ;108291890
1934905;male;1981-11-15;Улан-Удэ;108291890
1957633;female;;Улан-Удэ;108291890
2112250;female;1986-04-25;Улан-Удэ;108291890
2132906;male;;Улан-Удэ;108291890
2211807;female;;;108291890
2244885;female;;Улан-Удэ;108291890
2296586;female;1984-10-14;Москва;108291890
